Fiber_name,PC1_lesser,psig
f28,-0.0586943210845254,1
f46,-0.0838218185926352,1
f52,-0.12807014292383198,1
f57,-0.107702293796326,1
f69,-0.16609746976607098,1
f70,-0.17106356446575102,1
f76,-0.16299483928224698,1
f148,-0.0871794804107178,1
f200,-0.0953166709008047,1
f201,-0.0482692925511935,1
f208,-0.0793235150016288,1
f292,-0.0706496953135045,1
f337,-0.04473688595181599,1
f346,-0.10148018835634699,1
f351,-0.0606241898857243,1
f352,-0.0807149017900492,1
f356,-0.0734047527005512,1
f357,-0.0782924340640543,1
f361,-0.06757455681067501,1
f370,-0.0763355072800892,1
f379,-0.10000101469492402,1
f404,-0.0364651737097084,1
f411,-0.0352815754968031,1
f423,-0.0410304262029186,1
f424,-0.0456189481677683,1
f427,-0.0359616584402945,1
f428,-0.0512812177101499,1
f429,-0.031121298978255,1
f437,-0.0350562019302676,1
f438,-0.0300331175532061,1
f459,-0.09573596377558401,1
f467,-0.0624867757193935,1
f486,-0.0702085543509029,1
f508,-0.027827061804306,1
f510,-0.0521013466539542,1
f513,-0.0345435631939795,1
f516,-0.0395374267967723,1
f547,-0.0618408998771372,1
f590,-0.027629816915753995,1
f598,-0.025920425542763997,1
f614,-0.03530702505439799,1
f626,-0.0573455604505316,1
f1293,-0.0523133172013654,1
f1294,-0.0346042956236776,1
f1497,-0.0258596173077193,1
f1864,-0.0508495233183666,1
f1996,-0.0303038799952257,1
f2198,-0.036818811627653,1
f2235,-0.0455933974519368,1
f2323,-0.0422774083921655,1
f2499,-0.03169716162446701,1
